stem,stage,stratum,outcome,action,forms,n_forms,forms_listed,forms_missing,deciding_source,stem_status,mw_stems,part_of_speech,decided_date
abacteremic,3,not-in-wn,mw-absent,none,abacteremicer abacteremicest,2,,,,,,,2026-08-14
abacterial,3,not-in-wn,inflection-absent,none,abacterialer abacterialest,2,,abacterialer abacterialest,collegiate,valid,abacterial,adjective,2026-08-14
angioplastic,3,not-in-wn,mw-absent,none,angioplasticer angioplasticest,2,,,,,,,2026-08-14
atomical,3,not-in-wn,mw-absent,none,atomicaler atomicalest,2,,,,,,,2026-08-14
attemptable,3,not-in-wn,inflection-absent,none,attemptabler attemptablest,2,,attemptabler attemptablest,collegiate,valid,attempt attemptable attempted attempting attempts,verb,2026-08-14
baffy,3,not-in-wn,mw-absent,none,baffiest,1,,,,,,,2026-08-14
barrable,3,not-in-wn,mw-absent,none,barrabler barrablest,2,,,,,,,2026-08-14
beadable,3,not-in-wn,mw-absent,none,beadabler beadablest,2,,,,,,,2026-08-14
beclown,3,not-in-wn,mw-absent,none,beclownest,1,,,,,,,2026-08-14
bidable,3,not-in-wn,mw-absent,none,bidabler bidablest,2,,,,,,,2026-08-14
bienpensant,3,not-in-wn,mw-absent,none,bienpensanter bienpensantest,2,,,,,,,2026-08-14
bonhomous,3,not-in-wn,inflection-absent,none,bonhomouser bonhomousest,2,,bonhomouser bonhomousest,collegiate,valid,bonhomie bonhomies bonhomous,noun,2026-08-14
breathable,3,not-in-wn,inflection-absent,none,breathabler breathablest,2,,breathabler breathablest,collegiate,valid,breathabilities breathability breathable,adjective,2026-08-14
castable,3,not-in-wn,inflection-absent,none,castabler castablest,2,,castabler castablest,collegiate,valid,cast castabilities castability castable casting casts,verb,2026-08-14
chelar,3,not-in-wn,mw-absent,none,chelarer chelarest,2,,,,,,,2026-08-14
chitinoid,3,not-in-wn,mw-absent,none,chitinoider chitinoidest,2,,,,,,,2026-08-14
chondrocytic,3,not-in-wn,mw-absent,none,chondrocyticer chondrocyticest,2,,,,,,,2026-08-14
chromogenetic,3,not-in-wn,mw-absent,none,chromogeneticer chromogeneticest,2,,,,,,,2026-08-14
closeable,3,not-in-wn,inflection-absent,none,closeabler closeablest,2,,closeabler closeablest,collegiate,valid,closable close closeable closed closes closing,verb,2026-08-14
disconnectable,3,not-in-wn,mw-absent,none,disconnectabler disconnectablest,2,,,,,,,2026-08-14
